X,Y,Nedbor,Month
10.0,0.5,183.0,2.0
10.0,0.5,135.0,3.0
10.0,0.5,183.0,4.0
10.0,0.5,143.0,5.0
10.0,0.5,157.0,6.0
10.0,0.5,176.0,7.0
10.0,0.5,367.0,8.0
10.0,0.5,384.0,9.0
10.0,0.5,261.0,10.0
10.0,0.5,213.0,11.0
10.0,0.5,154.0,12.0
10.0,2.0,184.0,1.0
10.0,2.0,171.0,2.0
10.0,2.0,162.0,3.0
10.0,2.0,212.0,4.0
10.0,2.0,170.0,5.0
10.0,2.0,140.0,6.0
10.0,2.0,238.0,7.0
10.0,2.0,408.0,8.0
10.0,2.0,416.0,9.0
10.0,2.0,234.0,10.0
10.0,2.0,250.0,11.0
10.0,2.0,218.0,12.0
11.0,9.0,219.0,1.0
11.0,9.0,162.0,2.0
11.0,9.0,227.0,3.0
11.0,9.0,203.0,4.0
11.0,9.0,192.0,5.0
11.0,9.0,188.0,6.0
11.0,9.0,269.0,7.0
11.0,9.0,344.0,8.0
11.0,9.0,314.0,9.0
11.0,9.0,292.0,10.0
11.0,9.0,208.0,11.0
11.0,9.0,268.0,12.0
12.0,1.5,186.0,1.0
12.0,1.5,212.0,2.0
12.0,1.5,180.0,3.0
12.0,1.5,187.0,4.0
12.0,1.5,133.0,5.0
12.0,1.5,148.0,6.0
12.0,1.5,193.0,7.0
12.0,1.5,287.0,8.0
12.0,1.5,450.0,9.0
12.0,1.5,287.0,10.0
12.0,1.5,211.0,11.0
12.0,1.5,179.0,12.0
12.0,5.0,301.0,1.0
12.0,5.0,389.0,2.0
12.0,5.0,298.0,3.0
12.0,5.0,396.0,4.0
12.0,5.0,212.0,5.0
12.0,5.0,262.0,6.0
12.0,5.0,369.0,7.0
12.0,5.0,499.0,8.0
12.0,5.0,499.0,9.0
12.0,5.0,499.0,10.0
12.0,5.0,329.0,11.0
12.0,5.0,398.0,12.0
